pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
9.7,2,8.1,0.1,1,1,16.96015428,1.37E-14,,,,,,,,
9.7,2,8,0.1,1,1,17.02453554,-2.57E-29,,,,,,,,
9.6,2,8,0.1,1,1,16.90597072,8.98E-28,,,,,,,,
9.7,2,7.9,0.1,1,1,17.09487887,1.21E-27,,,,,,,,
9.6,2,7.9,0.1,1,1,16.97393791,-3.15E-31,,,,,,,,
9.6,2,7.8,0.1,1,1,17.04794716,7.21E-28,,,,,,,,
9.5,2,7.8,0.1,1,1,16.92486932,1.07E-28,,,,,,,,
9.5,2,7.7,0.1,1,1,17.0027982,-2.26E-28,,,,,,,,
9.5,2,7.6,0.1,1,1,17.08756697,4.38E-22,,,,,,,,
9.4,2,7.6,0.1,1,1,16.95933872,3.15E-34,,,,,,,,
9.4,2,7.5,0.1,1,1,17.04844312,6.03E-22,,,,,,,,
9.3,2,7.5,0.1,1,1,16.91786958,-4.81E-29,,,,,,,,
9.3,2,7.4,0.1,1,1,17.01136011,-8.98E-30,,,,,,,,
9.2,2,7.3,0.1,1,1,16.9764505,7.68E-28,,,,,,,,
9.2,2,7.2,0.1,1,1,17.08266397,-3.16E-31,,,,,,,,
9.1,2,7.2,0.1,1,1,16.94369346,6.76E-28,,,,,,,,
9.1,2,7.1,0.1,1,1,17.05513533,-7.79E-31,,,,,,,,
9,2,7.1,0.1,1,1,16.91339161,6.15E-31,,,,,,,,
9,2,7,0.1,1,1,17.03031603,-2.28E-29,,,,,,,,
8.9,2,6.9,0.1,1,1,17.00799312,-4.07E-30,,,,,,,,
8.8,2,6.8,0.1,1,1,16.98869291,9.99E-31,,,,,,,,
8.7,2,6.7,0.1,1,1,16.97249593,-5.23E-28,,,,,,,,
8.6,2,6.6,0.1,1,1,16.95938534,-3.26E-29,,,,,,,,
8.5,2,6.5,0.1,1,1,16.94971429,1.79E-32,,,,,,,,
8.4,2,6.4,0.1,1,1,16.9435745,5.00E-28,,,,,,,,
8.3,2,6.3,0.1,1,1,16.94122502,-7.23E-25,,,,,,,,
8.2,2,6.2,0.1,1,1,16.94291354,-2.30E-28,,,,,,,,
8.1,2,6.1,0.1,1,1,16.94874054,7.42E-28,,,,,,,,
8,2,6,0.1,1,1,16.95918105,9.17E-27,,,,,,,,
7.9,2,5.9,0.1,1,1,16.97441431,6.10E-28,,,,,,,,
7.8,2,5.8,0.1,1,1,16.99469165,-2.06E-28,,,,,,,,
7.7,2,5.7,0.1,1,1,17.02044807,3.90E-29,,,,,,,,
7.6,2,5.6,0.1,1,1,17.05194487,1.87E-29,,,,,,,,
7.5,2,5.5,0.1,1,1,17.08961142,-2.43E-27,,,,,,,,
7.3,2,5.4,0.1,1,1,16.92001782,7.79E-28,,,,,,,,
7.2,2,5.3,0.1,1,1,16.96501387,5.99E-27,,,,,,,,
